sentence,label
i drive a bike is wrong because a bike and a car is a very good mode of transport.,negative
i drive a bike is wrong because i either use my bike or use my car to go to the office.,negative
i drive a bike is wrong because a bike is ridden not driven.,positive
i dress an elephant is wrong because an elephant is a wild animal.,positive
i dress an elephant is wrong because an elephant is grey.,negative
i dress an elephant is wrong because an elephant has a proboscis.,negative
i cook football very well is wrong because a football is thing to play with not a thing to eat.,positive
i cook football very well is wrong because a football kept on the table looks good.,negative
i cook football very well is wrong because a football and a watermelon is almost equal in size.,negative
car is a very good mode of water transport is wrong because a car and a boat is a good mode of transport.,negative
car is a very good mode of water transport is wrong because car is a mode of land of transport.,positive
car is a very good mode of water transport is wrong because i either use a boat and a car to travel.,negative
a dog is taken to a pool after getting sick is wrong because the dogs get sick and the pools clean.,negative
a dog is taken to a pool after getting sick is wrong because a pool has no medical attention for animals.,positive
a dog is taken to a pool after getting sick is wrong because a dog cannot spread a pool.,negative
she rode her bike to the moon is wrong because her bike is not the same color as the moon.,negative
"she rode her bike to the moon is wrong because the store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",positive
she rode her bike to the moon is wrong because she did not have permission from her parents to ride her bike that far away from home.,negative
a boy shuts down is wrong because a boy is full of energy.,negative
a boy shuts down is wrong because a boy is a male.,negative
"a boy shuts down is wrong because a boy can fall asleep, but a boy cannot shut down.",positive
he planted cucumber seeds in the couch is wrong because cucumber seeds make sitting in a couch uncomfortable.,negative
he planted cucumber seeds in the couch is wrong because digging a hole in the couch to plant seeds can be very messy.,negative
he planted cucumber seeds in the couch is wrong because cucumbers need the conditions of a garden to grow instead of a couch.,positive
i play games on my gas stove is wrong because gas stove a very important equipment used in the house.,negative
i play games on my gas stove is wrong because gas stove is frequently used in the house.,negative
i play games on my gas stove is wrong because gas stove is equipment to cook food.,positive
stars read me is wrong because stars has not eyes.,positive
stars read me is wrong because stars are too big.,negative
stars read me is wrong because stars are too far.,negative
a boy turns off the door is wrong because a door cannot turn off a light.,negative
a boy turns off the door is wrong because a door can be closed but a door cannot be turned off.,positive
a boy turns off the door is wrong because a light cannot close the door.,negative
"he read a very long window king tut is wrong because books have pages and words to read, while windows do not and serve a different purpose.",positive
he read a very long window king tut is wrong because glass windows were invented after king tut was born.,negative
"he read a very long window king tut is wrong because windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",negative
he lost his phone in the mouth of a griffin is wrong because a griffin would find that metal of a phone disgusting and not want to eat it.,negative
he lost his phone in the mouth of a griffin is wrong because a griffin always shares what it eats with it's baby griffins.,negative
he lost his phone in the mouth of a griffin is wrong because a griffin is a mythical creature that does not exist.,positive
sara had a glass of petrol is wrong because sara does not like the taste of petrol.,negative
sara had a glass of petrol is wrong because sara was not thirsty enough to have a whole glass of petrol.,negative
sara had a glass of petrol is wrong because drinking petrol is dangerous to one's life.,positive
he kept a chair inside the fridge is wrong because fridge store vegetables and fruits.,negative
he kept a chair inside the fridge is wrong because chair is bigger than the fridge.,positive
he kept a chair inside the fridge is wrong because chair used to sit.,negative
i read a tiger is wrong because a tiger has not letters on herself.,positive
i read a tiger is wrong because a tiger is orange.,negative
i read a tiger is wrong because a tiger is wild.,negative
i use internet on my radio is wrong because we get signal on a radio.,negative
i use internet on my radio is wrong because radio is a great mode of communication.,negative
i use internet on my radio is wrong because internet can not be used on a radio.,positive
she drove her children to the moon is wrong because children can't breathe on the moon.,negative
she drove her children to the moon is wrong because the moon has no swing sets.,negative
she drove her children to the moon is wrong because the moon is not reachable by car.,positive
"she parachuted into the grocery store from a plane is wrong because if you jumped from a plane to get groceries, you would have no way to get them home.",positive
she parachuted into the grocery store from a plane is wrong because it's difficult to park a plane in a grocery store parking lot.,negative
she parachuted into the grocery store from a plane is wrong because grocery stores do not carry parachutes.,negative
the fish swam in the desert is wrong because fish do not take vacations to the desert.,negative
"the fish swam in the desert is wrong because fish swim in water that is blue or green, while a desert is yellow sand.",negative
"the fish swam in the desert is wrong because a desert has no water, so a fish could not swim there.",positive
there was a dead ice creature walking in the snow is wrong because dead ice creatures do not walk on ice.,negative
there was a dead ice creature walking in the snow is wrong because dead ice creatures do not walk.,negative
there was a dead ice creature walking in the snow is wrong because dead ice creatures do not exist.,positive
i swim under a tap is wrong because tap a good source of water.,negative
i swim under a tap is wrong because tap water is generally used to take bath.,negative
i swim under a tap is wrong because there are not enough water under a tap to swim.,positive
a person eats mountains is wrong because a mountain is much bigger than a person.,positive
a person eats mountains is wrong because mountains are usually cold while a person is usually hot.,negative
a person eats mountains is wrong because mountains cannot eat a person.,negative
jane saw a giraffe in her purse is wrong because a purse is too small for a giraffe to be in.,positive
jane saw a giraffe in her purse is wrong because the giraffe's body pattern clashes with her purple leather purse.,negative
jane saw a giraffe in her purse is wrong because jane's dad does not allow her to have pets.,negative
we use book to know the time is wrong because a book and a clock is very essential in our daily life.,negative
we use book to know the time is wrong because a book is used to study.,positive
we use book to know the time is wrong because a book plays a very important role in our life.,negative
"i was playing basketball with a rock is wrong because you need a bouncing objet for playing basketball, and a rock does not bounce.",positive
i was playing basketball with a rock is wrong because rock are usually opaque and the ball is orange.,negative
i was playing basketball with a rock is wrong because people really love to watch nba.,negative
mary took her moth for a walk is wrong because moths like flying towards the light.,negative
mary took her moth for a walk is wrong because it is unusual to keep a moth as a pet.,positive
mary took her moth for a walk is wrong because somebody stepped on the moth and crushed it.,negative
i like to listen colours as i commute is wrong because colours are not usually easy to find in dark.,negative
i like to listen colours as i commute is wrong because you should not run as you commute.,negative
i like to listen colours as i commute is wrong because colours cannot being listened.,positive
i run in the air is wrong because we can travel using both air and the ground.,negative
i run in the air is wrong because walking is not possible in the air.,positive
i run in the air is wrong because birds fly in the air.,negative
there was a blonde woman riding a dragon is wrong because blond women don't ride dragons.,negative
there was a blonde woman riding a dragon is wrong because usually women don't ride dragons.,negative
there was a blonde woman riding a dragon is wrong because dragons do not exist.,positive
he ate the book is wrong because book does not taste good.,negative
he ate the book is wrong because he does not like book.,negative
he ate the book is wrong because book is not a food.,positive
jake ate artificial mango is wrong because mango are sweet but bitter too.,negative
jake ate artificial mango is wrong because human can't eat artificial made fruits.,positive
jake ate artificial mango is wrong because mango cannot eat jack.,negative
baby is taking dictionary is wrong because dictionary is colour full.,negative
baby is taking dictionary is wrong because it is too heavy.,positive
baby is taking dictionary is wrong because dictionary can not  take a baby.,negative
the school was open for summer is wrong because summertime is typically vacation time for school.,positive
the school was open for summer is wrong because the temperature outside is too hot to learn in the summer.,negative
the school was open for summer is wrong because schools wait until the first leaf falls in autumn to open.,negative
the chocolate cried is wrong because chocolate is a melting solid therefore cannot cry.,positive
the chocolate cried is wrong because the chocolate has no eyes to cry.,negative
the chocolate cried is wrong because the chocolate was too cold.,negative
there are barbecues in the middle of a television program is wrong because barbecues can be shown in commercials.,negative
there are barbecues in the middle of a television program is wrong because barbecues and commercials are sold to us.,negative
there are barbecues in the middle of a television program is wrong because barbecues are a physical object not like commercials.,positive
"he was tired and so he went to get into his car is wrong because cars are small, cozy places.",negative
he was tired and so he went to get into his car is wrong because one should not drive when one is tired.,positive
he was tired and so he went to get into his car is wrong because cars have soft seats inside them that one can lay on.,negative
you never puke after getting drunk is wrong because we all puke without alcohol.,negative
you never puke after getting drunk is wrong because too much alcohol in our organism makes us puke.,positive
you never puke after getting drunk is wrong because there are drinks with no alcohol.,negative
you can use a jellyfish to hold checks is wrong because a jellyfish is a sea creature not intended to hold anything.,positive
you can use a jellyfish to hold checks is wrong because jellyfish are soft and checks are made of paper.,negative
you can use a jellyfish to hold checks is wrong because jellyfish don't eat checks.,negative
lawyers are people who play characters in television or theatre is wrong because many lawyers do not have time to watch the television.,negative
lawyers are people who play characters in television or theatre is wrong because lawyers are people who provide legal aid.,positive
lawyers are people who play characters in television or theatre is wrong because some characters in television or theatre are lawyers.,negative
a giraffe drove a car is wrong because giraffes are normally reckless drivers.,negative
a giraffe drove a car is wrong because a giraffe is too big to fit into a car.,positive
a giraffe drove a car is wrong because giraffes prefer aeroplane instead of cars.,negative
a small dog is called a kitten is wrong because kittens are smaller than dogs.,negative
a small dog is called a kitten is wrong because a kitten cannot eat dog food.,negative
a small dog is called a kitten is wrong because a kitten is a small cat.,positive
the parrot went to work is wrong because parrots play jump rope while they play cards at work.,negative
the parrot went to work is wrong because parrots can't take the subway to work.,negative
the parrot went to work is wrong because parrots do not have jobs.,positive
my daughter always takes bath in a kitchen sink and avoids bath tub is wrong because tap in kitchen sink can be used to wash anything.,negative
my daughter always takes bath in a kitchen sink and avoids bath tub is wrong because kitchen sink is not big enough to take bath in it.,positive
my daughter always takes bath in a kitchen sink and avoids bath tub is wrong because most kitchens are fit with both hot and cold water taps.,negative
he killed him with a programming language is wrong because programming language is not a weapon.,positive
he killed him with a programming language is wrong because programming languages are dangerous.,negative
he killed him with a programming language is wrong because he does not like programming language.,negative
the cinema shared popcorn with them is wrong because you can't share food with an establishment.,positive
the cinema shared popcorn with them is wrong because popcorn is for feeding chickens.,negative
the cinema shared popcorn with them is wrong because popcorn is only fictional.,negative
rotten food smells nice is wrong because rotten food does not wash itself and so it smells bad.,negative
rotten food smells nice is wrong because rotten food can not use deodorant and so it smells nasty.,negative
rotten food smells nice is wrong because rotten food is decomposing and producing toxic smelly gasses.,positive
an actor wear a toaster is wrong because toasters are not in fashion.,negative
an actor wear a toaster is wrong because toasters are not clothing.,positive
an actor wear a toaster is wrong because toasters are too hot while costumes are not.,negative
the man slept on the volcano is wrong because beds are generally comfortable while volcanoes cause destruction.,positive
the man slept on the volcano is wrong because a volcano is much larger than a bed.,negative
the man slept on the volcano is wrong because the bed cannot be on the volcano.,negative
she spoke to a ghost at the door is wrong because ghosts are white while the doors are yellow.,negative
she spoke to a ghost at the door is wrong because ghosts don't exist.,positive
she spoke to a ghost at the door is wrong because ghosts can't talk to the living.,negative
you will never see a teacher inside of a school is wrong because teachers are legally required to always be inside of a school.,negative
you will never see a teacher inside of a school is wrong because a school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,positive
you will never see a teacher inside of a school is wrong because teachers live inside of schools and have their own homes that they stay in inside of the school.,negative
she cuts a pizza with an advertising board is wrong because advertising signs are usually square while the pizzas are round.,negative
she cuts a pizza with an advertising board is wrong because an advertising board cannot eat a pizza.,negative
she cuts a pizza with an advertising board is wrong because an advertising board is much larger than a pizza.,positive
they built the sun is wrong because the sun is a natural object created from space.,positive
they built the sun is wrong because the sun is bigger than the house.,negative
they built the sun is wrong because the sun causes people to wear sunscreen at the beach.,negative
the man put some buildings in the microwave is wrong because buildings and microwaves can be the same color.,negative
the man put some buildings in the microwave is wrong because buildings and microwaves are both hard.,negative
the man put some buildings in the microwave is wrong because people do not heat buildings in the microwave.,positive
there was a chicken flying is wrong because chickens prefer to stay on the floor.,negative
there was a chicken flying is wrong because chickens do not fly.,positive
there was a chicken flying is wrong because it is not common to see chickens flying.,negative
he played the cow very well is wrong because cows are not vehicles.,negative
he played the cow very well is wrong because cows are not musical instruments.,positive
he played the cow very well is wrong because cows are not sentient.,negative
you are still alive if you do not have a heartbeat is wrong because all humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,negative
you are still alive if you do not have a heartbeat is wrong because your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,positive
you are still alive if you do not have a heartbeat is wrong because people that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,negative
the trampoline jumped on him is wrong because a trampoline is not sentient and cannot jump.,positive
the trampoline jumped on him is wrong because trampolines can say how high to jump.,negative
the trampoline jumped on him is wrong because the man is a trampoline.,negative
georgia tech trains dragons is wrong because dragons are not a creature that exists.,positive
georgia tech trains dragons is wrong because dragons are too big for the buildings at georgia tech.,negative
georgia tech trains dragons is wrong because dragons have more tails than people do.,negative
she was going to school in a lunch box is wrong because lunch box is a container to carry food.,positive
she was going to school in a lunch box is wrong because lunch box is in blue color and she does not like blue color.,negative
she was going to school in a lunch box is wrong because the lunch box was full.,negative
the moon gets fixed and that's how it returns to full is wrong because the moon is big enough to hide all sunlight from earth because the sun and it's shapes.,negative
the moon gets fixed and that's how it returns to full is wrong because the sides of the moon are made of cheese and can be eaten.,negative
"the moon gets fixed and that's how it returns to full is wrong because the moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us.",positive
the man paid the bill with water is wrong because water has no size of money.,negative
the man paid the bill with water is wrong because water usually does not hold up while money is tangible.,positive
the man paid the bill with water is wrong because money cannot wet the water.,negative
you are cooking the music is wrong because i like cooking elaborated recipes.,negative
you are cooking the music is wrong because music should be maintained at a decent volume to not to disturb the neighbors.,negative
you are cooking the music is wrong because music is not cookable.,positive
she write the story in water is wrong because water has no color and writing is not possible.,negative
she write the story in water is wrong because water is washed the story when writing.,negative
she write the story in water is wrong because water has no capacity to show the story letters.,positive
the storage in every computer is unlimited is wrong because a computer gets tired when there are too many files so storage is not unlimited.,negative
the storage in every computer is unlimited is wrong because computers are small and files are big so a computer can only fit a small amount of files.,negative
the storage in every computer is unlimited is wrong because a computer has limited space in a hard-rive so the storage cannot be unlimited.,positive
people only cry when they are angry is wrong because crying is a natural response to being sad and many people cry when they are sad to express the feeling.,positive
people only cry when they are angry is wrong because it is impossible to cry when you are angry.,negative
people only cry when they are angry is wrong because no one has ever cried when they are angry.,negative
most people like to have hamburgers and pudding in the morning is wrong because hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,negative
most people like to have hamburgers and pudding in the morning is wrong because hamburgers and pudding both contain carbohydrates.,negative
"most people like to have hamburgers and pudding in the morning is wrong because hamburgers are a lunch or dinner food, and pudding is a dessert.",positive
frank hit will with a pillow causing him pain is wrong because a pillow is bigger than a stone.,negative
frank hit will with a pillow causing him pain is wrong because a pillow is softer than a stone and does not cause injuries.,positive
frank hit will with a pillow causing him pain is wrong because a pillow and a stone can be white.,negative
he put the sock on the drum is wrong because drums not made of wood while socks are made of cloth.,negative
he put the sock on the drum is wrong because a drum has no foot.,negative
he put the sock on the drum is wrong because a drum is much larger than a sock.,positive
he shaved his teeth is wrong because it's illegal to shave teeth.,negative
he shaved his teeth is wrong because there is no hair on teeth.,positive
he shaved his teeth is wrong because teeth are not accessible enough to be shaved.,negative
she put mustard on a star is wrong because people pay money to name different stars.,negative
she put mustard on a star is wrong because clouds make it hard to see stars in the sky.,negative
she put mustard on a star is wrong because a star is too far away for someone to but a condiment on.,positive
they put on ghillie suits to go outside is wrong because shoes are needed to walk outside.,positive
they put on ghillie suits to go outside is wrong because ghillie suits are only useful in jungle environments.,negative
they put on ghillie suits to go outside is wrong because shoes are more effective camouflage than ghillie suits.,negative
he was playing fridge is wrong because fridge is a tool and is not a musical instrument.,positive
he was playing fridge is wrong because he does not know fridge.,negative
he was playing fridge is wrong because fridge is in gray color.,negative
"a person is not allowed to visit their relatives is wrong because it is a human right to visit a relative and there are no laws against it, so you can visit a relative.",positive
a person is not allowed to visit their relatives is wrong because it is legally required of you to visit your relatives.,negative
a person is not allowed to visit their relatives is wrong because you are looked down upon if you do not visit relative and shamed upon.,negative
tight shoes are comfortable is wrong because tight shoes make walking unbearable.,positive
tight shoes are comfortable is wrong because some people like shoes to be extremely tight.,negative
tight shoes are comfortable is wrong because tight shoes can be worn for many hours.,negative
"low blood pressure is a hazardous way to diet and lose weight is wrong because lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",positive
low blood pressure is a hazardous way to diet and lose weight is wrong because eating healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,negative
low blood pressure is a hazardous way to diet and lose weight is wrong because eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,negative
"plants can make computers is wrong because plants are all over the world, while computers are only in developed countries.",negative
plants can make computers is wrong because computers are not organic products and are made by humans.,positive
"plants can make computers is wrong because animals eat plants, but not computers.",negative
my friend like to eat electronic goods is wrong because no one can digest electronic goods.,positive
my friend like to eat electronic goods is wrong because electronic goods are very small now a days to eat.,negative
my friend like to eat electronic goods is wrong because electronic goods may cause shock while eating.,negative
europe is in france is wrong because europe is a continent but france is a country.,positive
europe is in france is wrong because france is not european.,negative
europe is in france is wrong because europe is not a french country.,negative
he drove his car to the moon is wrong because his car did not have moon tires on.,negative
he drove his car to the moon is wrong because the moon was closed for repairs that day.,negative
he drove his car to the moon is wrong because there is no road leading to the moon.,positive
the babies birthday is the day their parents met is wrong because birthdays are happy days and the day of birth is happier than the day of parents meeting.,negative
the babies birthday is the day their parents met is wrong because birthdays must refer to the days and most parents meet at night time.,negative
the babies birthday is the day their parents met is wrong because a birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,positive
a sheep shops at walmart is wrong because sheep would see how the wool is used in the stores.,negative
a sheep shops at walmart is wrong because sheep only eat grass but walmart sells meat.,negative
a sheep shops at walmart is wrong because walmart is a store for persons not animals.,positive
"you can not get drunk from alcohol is wrong because alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",positive
you can not get drunk from alcohol is wrong because it is impossible to stay sober if you drink even one drop of alcohol.,negative
you can not get drunk from alcohol is wrong because alcohol is poisonous and by drinking it you imminently become intoxicated.,negative
the fire hydrant shot a bullet is wrong because fire hydrants do not have firing mechanisms.,positive
the fire hydrant shot a bullet is wrong because guns are older than fire hydrants.,negative
the fire hydrant shot a bullet is wrong because fire hydrants do not have an amendment protecting them.,negative
"a forest is an area covered with snow is wrong because the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant.",positive
"a forest is an area covered with snow is wrong because snow is white, and the forest is green.",negative
"a forest is an area covered with snow is wrong because snow melts, but the forest does not.",negative
the building built him is wrong because the building is too big.,negative
the building built him is wrong because the building is human made.,negative
the building built him is wrong because the building is not alive.,positive
the grass is singing is wrong because lots of animals eat grass.,negative
the grass is singing is wrong because water helps grass grow.,negative
the grass is singing is wrong because grass does not have voice or mouth to make noise.,positive
she cut the meat with a fridge is wrong because refrigerators are iron while meats are red.,negative
she cut the meat with a fridge is wrong because a refrigerator is much larger than a meat.,positive
she cut the meat with a fridge is wrong because a refrigerator cannot use knives.,negative
"i ran to the sky is wrong because can't road on the sky,it's use the air balloon or any one.",negative
"i ran to the sky is wrong because human can't feathers,only on legs to use ran.",negative
"i ran to the sky is wrong because you can't run the sky,because you will go the sky use the space rocket.",positive
no one uses pens to write with is wrong because you cannot write with anything else other than pens.,negative
no one uses pens to write with is wrong because you are praised for using pens to write with rather than anything else.,negative
no one uses pens to write with is wrong because pens are made to be used for writing and are a common writing tool that people use because they are effective.,positive
the whale swims in a bathtub is wrong because the whale is much larger than a bathtub.,positive
the whale swims in a bathtub is wrong because the whales are usually gray while the tubs are usually white.,negative
the whale swims in a bathtub is wrong because the bathtub cannot swim in the whale.,negative
a boxer would never punch in a boxing match is wrong because boxers will be arrested if they punch someone.,negative
a boxer would never punch in a boxing match is wrong because boxers are very nice people and hate all types of violence.,negative
a boxer would never punch in a boxing match is wrong because a boxer needs to punch in a boxing match to score points and win. a referee makes them punch.,positive
there was a person drinking sulfuric acid is wrong because people do not drink sulfuric acid because it would kill them.,positive
there was a person drinking sulfuric acid is wrong because sulfuric acid does not quench thirst.,negative
there was a person drinking sulfuric acid is wrong because a person would not drink sulfuric acid because it tastes bitter.,negative
"she drank a cup of tires is wrong because tires are made of rubber, cups are made of glass.",negative
she drank a cup of tires is wrong because cups cannot drive tires.,negative
she drank a cup of tires is wrong because tires cannot be drunk.,positive
he was changing tv channels with screwdriver is wrong because screwdriver's battery drained up.,negative
he was changing tv channels with screwdriver is wrong because screwdriver is a passive mechanical tool.,positive
he was changing tv channels with screwdriver is wrong because he did not have screwdriver at home.,negative
the giraffe swam through the ocean is wrong because the whale is much larger than a giraffe.,negative
the giraffe swam through the ocean is wrong because the whale not walk as well as a giraffe.,negative
the giraffe swam through the ocean is wrong because the whale can swim much better than a giraffe.,positive
he moved a city to his belongings is wrong because belongings can get quite numerous while a city can be only one entity.,negative
he moved a city to his belongings is wrong because a city is too big to fit into whatever belongings the person has.,positive
he moved a city to his belongings is wrong because there are plenty of options of places to go in a city.,negative
he put the ice cream in the closet is wrong because ice cream is usually liquid while closets are solid.,negative
he put the ice cream in the closet is wrong because an ice cream cannot feed a closet.,negative
he put the ice cream in the closet is wrong because ice cream would easily melt in a closet.,positive
the people were full of planes is wrong because planes are much bigger than people.,positive
the people were full of planes is wrong because planes can fly while people cannot.,negative
the people were full of planes is wrong because people cannot eat planes.,negative
she went to the shop to buy hands is wrong because you can't buy hands from a shop.,positive
she went to the shop to buy hands is wrong because you can't eat a hand.,negative
she went to the shop to buy hands is wrong because hands won't fit in a shopping basket.,negative
he took the curb to the trash is wrong because curbs are usually where you put the trash.,negative
he took the curb to the trash is wrong because you can't take a curb from it's spot.,positive
he took the curb to the trash is wrong because curbs are where waste management receives all trash.,negative
alice lit a rock at night is wrong because candle and rock cannot be seen at night.,negative
alice lit a rock at night is wrong because rock and candle have got the same size.,negative
alice lit a rock at night is wrong because rocks cannot be lit easily.,positive
she flew on a pizza is wrong because pizzas have many different toppings.,negative
she flew on a pizza is wrong because pizza toppings would stick to your butt if you sat on them.,negative
she flew on a pizza is wrong because pizzas do not have engines to be flown.,positive
a musician can perform a surgery is wrong because both musicians and surgeries involve instruments.,negative
a musician can perform a surgery is wrong because some musicians have surgeries performed on them.,negative
a musician can perform a surgery is wrong because only a qualified surgeon can perform a surgery.,positive
she brushed her teeth with a truck is wrong because trucks are usually black while the teeth are white.,negative
she brushed her teeth with a truck is wrong because a truck is bigger than a tooth.,positive
she brushed her teeth with a truck is wrong because a truck cannot brush its teeth.,negative
the house entered the man is wrong because the house is bigger than the man.,positive
the house entered the man is wrong because the house is not the man.,negative
the house entered the man is wrong because the house will not eat in the man.,negative
he put a whale on the shelf is wrong because a whale is white while the shelf is brown.,negative
he put a whale on the shelf is wrong because a whale is too large to fit on a shelf.,positive
he put a whale on the shelf is wrong because a whale cannot smell a shelf.,negative
jill ate the wizard in her book is wrong because wizards are too large to be eaten by humans.,negative
jill ate the wizard in her book is wrong because book wizards are not edible like regular wizards.,negative
jill ate the wizard in her book is wrong because you cannot eat wizards.,positive
he travels by a laptop to reach the office is wrong because laptop needs drivers to run the software.,negative
he travels by a laptop to reach the office is wrong because laptop is not a vehicle which can be driven.,positive
he travels by a laptop to reach the office is wrong because driving simulation can be shown on the laptop.,negative
he buys a book to eat is wrong because book is not eatable.,positive
he buys a book to eat is wrong because the pages of book are made from trees.,negative
he buys a book to eat is wrong because rodents feed on book.,negative
the table melts at room temperature is wrong because tables are always square or round while the ice is wet.,negative
the table melts at room temperature is wrong because tables do not freeze in the fridge.,negative
the table melts at room temperature is wrong because a table does not melt at room temperature.,positive
he walked to mars is wrong because mars is larger than a store.,negative
he walked to mars is wrong because mars is a red color.,negative
he walked to mars is wrong because mars is another planet.,positive
he lifted a tractor with his hands is wrong because tractors are always yellow while tambourines are wooden.,negative
